epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,159.675,0.84663,0.6462,1.19192,0.98328,0.87154,0.86451,0.60864,1.15735,0.6501,1.69934,0.000181511,0.000181511,0.000181511
81,161.564,0.87702,0.63112,1.17415,0.97152,0.872,0.86343,0.5975,1.19558,0.79699,1.64091,0.000173264,0.000173264,0.000173264
82,163.49,0.89488,0.62233,1.17905,0.97282,0.87202,0.86362,0.60148,1.13011,0.76929,1.63507,0.000165017,0.000165017,0.000165017
83,165.495,0.89615,0.6624,1.23327,0.98338,0.87313,0.86498,0.61148,1.13253,0.63143,1.67579,0.000156771,0.000156771,0.000156771
84,167.417,0.85336,0.64766,1.20754,0.9823,0.87329,0.86239,0.60286,1.14567,0.62496,1.65921,0.000148524,0.000148524,0.000148524
85,169.312,0.87792,0.62197,1.16837,0.98224,0.87346,0.86153,0.61165,1.10584,0.65191,1.61681,0.000140277,0.000140277,0.000140277
86,171.219,0.81826,0.56333,1.14864,0.97598,0.86852,0.86051,0.61803,1.10995,0.69477,1.63341,0.000132031,0.000132031,0.000132031
87,173.152,0.82379,0.60661,1.14023,0.98399,0.87284,0.86386,0.61484,1.14982,0.57646,1.68401,0.000123784,0.000123784,0.000123784
88,175.081,0.7999,0.55385,1.12895,0.98354,0.875,0.86468,0.61075,1.2077,0.52309,1.6865,0.000115537,0.000115537,0.000115537
89,177.047,0.81126,0.58146,1.13223,0.98347,0.875,0.86488,0.60819,1.20101,0.49993,1.67384,0.00010729,0.00010729,0.00010729
